source,metric,identity,metric_class,semantic_role,purpose,quality_definedness,current_named_use,normative_destinations,forbidden_use,review_note,normative_status,baseline_commit
derivatives,open_interest,derivatives/open_interest,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Current open interest in contract units; absolute value needs contract-unit context.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,basis,derivatives/basis,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Dimensionless derivative/reference price basis.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,log_basis,derivatives/log_basis,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Log ratio of derivative to reference price; symmetric basis geometry.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,derivative_index_log_basis,derivatives/derivative_index_log_basis,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Derivative vs index log basis; valid only with genuinely distinct legs.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,index_spot_log_basis,derivatives/index_spot_log_basis,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Index vs spot log basis; valid only with genuinely distinct legs.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,derivative_spot_log_basis,derivatives/derivative_spot_log_basis,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Derivative vs spot log basis; valid only with genuinely distinct legs.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,basis_closure_error,derivatives/basis_closure_error,direct_or_derived_measurement,DERIVATIVE_CONTEXT,"Three-leg basis consistency error; diagnostic of derivative/index/spot geometry, not alpha.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,open_interest_change,derivatives/open_interest_change,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Absolute change in open interest; contract-scale quantity.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,open_interest_log_change,derivatives/open_interest_log_change,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Scale-free log OI change.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,open_interest_growth_rate,derivatives/open_interest_growth_rate,temporal_dynamic_or_rate,DERIVATIVE_CONTEXT,Log OI growth per second.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,Category:LeveragedIgnition,Category(current; review semantics); Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,open_interest_growth_velocity,derivatives/open_interest_growth_velocity,temporal_dynamic_or_rate,CONTEXT_OR_MODEL_FEATURE,Event-time rate of change of the underlying `open_interest_growth_velocity` state.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,open_interest_growth_baseline,derivatives/open_interest_growth_baseline,historical_reference,CONTEXT_OR_MODEL_FEATURE,Causal historical reference for `open_interest_growth`.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric. Baseline is reference state, not a trading signal.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,open_interest_growth_zscore,derivatives/open_interest_growth_zscore,standardized_historical_comparison,CONTEXT_OR_MODEL_FEATURE,Standardized historical unusualness of the underlying `open_interest_growth_zscore` quantity.,"Requires a causal baseline/noise model. Definedness and estimator support matter; magnitude is unusualness, not probability.",Category:LeveragedIgnition,Category(current; review semantics); Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric. Z-score is standardized unusualness, not probability/confidence and not a universal [0,1] weight.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,basis_change,derivatives/basis_change,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Change in basis.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,basis_rate,derivatives/basis_rate,temporal_dynamic_or_rate,DERIVATIVE_CONTEXT,Basis movement per second.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,Category:DerivativesDecoupling,Category(current; review semantics); Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,basis_velocity,derivatives/basis_velocity,temporal_dynamic_or_rate,CONTEXT_OR_MODEL_FEATURE,Event-time rate of change of the underlying `basis_velocity` state.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,basis_baseline,derivatives/basis_baseline,historical_reference,CONTEXT_OR_MODEL_FEATURE,Causal historical reference for `basis`.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric. Baseline is reference state, not a trading signal.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,basis_zscore,derivatives/basis_zscore,standardized_historical_comparison,CONTEXT_OR_MODEL_FEATURE,Standardized historical unusualness of the underlying `basis_zscore` quantity.,"Requires a causal baseline/noise model. Definedness and estimator support matter; magnitude is unusualness, not probability.",Category:DerivativesDecoupling,Category(current; review semantics); Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric. Z-score is standardized unusualness, not probability/confidence and not a universal [0,1] weight.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,derivative_log_return,derivatives/derivative_log_return,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Derivative price log return over the observation interval.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,reference_log_return,derivatives/reference_log_return,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Reference price log return over the observation interval.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,return_gap,derivatives/return_gap,direct_or_derived_measurement,DERIVATIVE_CONTEXT,"Derivative return minus reference return; decoupling fact, not explanation.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,return_gap_velocity,derivatives/return_gap_velocity,temporal_dynamic_or_rate,CONTEXT_OR_MODEL_FEATURE,Event-time rate of change of the underlying `return_gap_velocity` state.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,return_gap_zscore,derivatives/return_gap_zscore,standardized_historical_comparison,CONTEXT_OR_MODEL_FEATURE,Standardized historical unusualness of the underlying `return_gap_zscore` quantity.,"Requires a causal baseline/noise model. Definedness and estimator support matter; magnitude is unusualness, not probability.",,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric. Z-score is standardized unusualness, not probability/confidence and not a universal [0,1] weight.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,liquidation_notional:buy,derivatives/liquidation_notional:buy,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Liquidation notional on the buy side.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,liquidation_notional:sell,derivatives/liquidation_notional:sell,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Liquidation notional on the sell side.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,gross_liquidation_notional,derivatives/gross_liquidation_notional,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Total liquidation notional independent of side.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,net_liquidation_notional,derivatives/net_liquidation_notional,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Signed liquidation notional.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,Category:LongDeleveraging,Category(current; review semantics); Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,liquidation_signed_fraction,derivatives/liquidation_signed_fraction,derived_dimensionless,DERIVATIVE_CONTEXT,Side imbalance of liquidation notional.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,Category:ShortSqueeze,Category(current; review semantics); Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",REVIEW: side imbalance alone does not establish ShortSqueeze.,KEEP_REVIEW_CURRENT_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,liquidation_notional_rate,derivatives/liquidation_notional_rate,temporal_dynamic_or_rate,DERIVATIVE_CONTEXT,Liquidation economic throughput per second.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,Category:AdverseLeverageBuildup,Category(current; review semantics); Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,gross_derivative_trade_notional,derivatives/gross_derivative_trade_notional,direct_or_derived_measurement,DERIVATIVE_CONTEXT,Total derivative trade notional used as denominator/context for liquidation share.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,liquidation_share,derivatives/liquidation_share,derived_measurement,DERIVATIVE_CONTEXT,Fraction of derivative traded notional represented by liquidation events.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,Category:LongDeleveraging,Category(current; review semantics); Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
derivatives,liquidation_share_velocity,derivatives/liquidation_share_velocity,temporal_dynamic_or_rate,CONTEXT_OR_MODEL_FEATURE,Event-time rate of change of the underlying `liquidation_share_velocity` state.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Leverage/derivatives context; Opportunity/Valuation; Hindsight,"Do not infer squeeze, leverage health, deleveraging, price discovery, or convergence from one derivative metric.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,displayed_depth_notional:bid,exhaustion/displayed_depth_notional:bid,direct_or_derived_measurement,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,displayed_depth_notional:ask,exhaustion/displayed_depth_notional:ask,direct_or_derived_measurement,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,displayed_depth_notional,exhaustion/displayed_depth_notional,direct_or_derived_measurement,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,spread,exhaustion/spread,direct_or_derived_measurement,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,relative_spread,exhaustion/relative_spread,direct_or_derived_measurement,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,Category:FragileExpansion,Category(current; review semantics); Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,book_imbalance,exhaustion/book_imbalance,derived_dimensionless,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,previous_book_imbalance,exhaustion/previous_book_imbalance,derived_dimensionless,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,book_imbalance_change,exhaustion/book_imbalance_change,derived_dimensionless,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,midpoint_log_return,exhaustion/midpoint_log_return,direct_or_derived_measurement,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,book_imbalance_baseline,exhaustion/book_imbalance_baseline,historical_reference,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,"Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection. Baseline is reference state, not a trading signal.",,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,book_imbalance_zscore,exhaustion/book_imbalance_zscore,standardized_historical_comparison,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.","Requires a causal baseline/noise model. Definedness and estimator support matter; magnitude is unusualness, not probability.",Category:MechanicalCollapse,Category(current; review semantics); Migrate existing consumers to canonical liquidity/depthflow/CVD facts,"Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection. Z-score is standardized unusualness, not probability/confidence and not a universal [0,1] weight.",,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,book_imbalance_velocity,exhaustion/book_imbalance_velocity,temporal_dynamic_or_rate,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,depth_baseline:bid,exhaustion/depth_baseline:bid,historical_reference,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,"Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection. Baseline is reference state, not a trading signal.",,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,depth_divergence:bid,exhaustion/depth_divergence:bid,historical_comparison,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,depth_divergence_velocity:bid,exhaustion/depth_divergence_velocity:bid,historical_comparison,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,depth_ratio:bid,exhaustion/depth_ratio:bid,derived_dimensionless,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,depth_zscore:bid,exhaustion/depth_zscore:bid,standardized_historical_comparison,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.","Requires a causal baseline/noise model. Definedness and estimator support matter; magnitude is unusualness, not probability.",,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,"Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection. Z-score is standardized unusualness, not probability/confidence and not a universal [0,1] weight.",,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,depth_baseline:ask,exhaustion/depth_baseline:ask,historical_reference,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,"Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection. Baseline is reference state, not a trading signal.",,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,depth_divergence:ask,exhaustion/depth_divergence:ask,historical_comparison,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,depth_divergence_velocity:ask,exhaustion/depth_divergence_velocity:ask,historical_comparison,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,Category:ActiveReversal,Category(current; review semantics); Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,depth_ratio:ask,exhaustion/depth_ratio:ask,derived_dimensionless,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection.,,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
exhaustion,depth_zscore:ask,exhaustion/depth_zscore:ask,standardized_historical_comparison,DEPRECATE_REDUNDANT,"Legacy compatibility projection of a liquidity/depth/imbalance/spread fact. Its normative purpose is migration to the canonical source, not new reasoning.","Requires a causal baseline/noise model. Definedness and estimator support matter; magnitude is unusualness, not probability.",,Migrate existing consumers to canonical liquidity/depthflow/CVD facts,"Do not create new semantic dependencies; migrate to canonical source and remove compatibility projection. Z-score is standardized unusualness, not probability/confidence and not a universal [0,1] weight.",,MIGRATE_AND_REMOVE,993c147ea9a3eb371c5b51d3210088bd8aec708a
